Beds,Baths,TotalRooms,Area,Type,Address,Sector_or_Block,Region,Town,City,Price
4,5,9,3200,Apartment,"Block C, Bashundhara R-A, Dhaka",Block C,Bashundhara R-A,Bashundhara R-A,Dhaka,100000.0
4,5,9,2000,Apartment,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",No Sector/Block,North Khulshi,Khulshi,Chattogram,80000.0
3,4,7,2000,Apartment,"Kalabagan, Dhaka",No Sector/Block,Kalabagan,Kalabagan,Dhaka,45000.0
3,3,6,1200,Apartment,"Mohammadia Housing Society, Mohammadpur, Dhaka",No Sector/Block,Mohammadia Housing Society,Mohammadpur,Dhaka,25000.0
4,4,8,2300,Apartment,"Block F, Bashundhara R-A, Dhaka",Block F,Bashundhara R-A,Bashundhara R-A,Dhaka,55000.0
4,3,7,1800,Apartment,"Kafrul, Dhaka",No Sector/Block,Kafrul,Kafrul,Dhaka,40000.0
2,2,4,800,Apartment,"Mohakhali DOHS, Dhaka",No Sector/Block,Mohakhali DOHS,Mohakhali DOHS,Dhaka,35000.0
3,4,7,2146,Apartment,"Sector 13, Uttara, Dhaka",Sector 13,Uttara,Uttara,Dhaka,55000.0
3,3,6,1315,Apartment,"10 No. North Kattali Ward, Chattogram",No Sector/Block,10 No. North Kattali Ward,10 No. North Kattali Ward,Chattogram,26000.0
3,3,6,1500,Apartment,"Sector 4, Uttara, Dhaka",Sector 4,Uttara,Uttara,Dhaka,35000.0
2,2,4,700,Apartment,"Mohammadpur, Dhaka",No Sector/Block,Mohammadpur,Mohammadpur,Dhaka,16000.0
2,1,3,600,Apartment,"Kaderabad Housing Society, Katashur, Mohammadpur, Dhaka",No Sector/Block,Katashur,Mohammadpur,Dhaka,14500.0
2,2,4,960,Apartment,"Kamarpara, Turag, Dhaka",No Sector/Block,Kamarpara,Turag,Dhaka,14000.0
3,4,7,2200,Apartment,"South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,35000.0
3,3,6,1500,Apartment,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,25000.0
3,3,6,1400,Apartment,"Block C, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",Block C,Bochila,Mohammadpur,Dhaka,16000.0
3,4,7,1600,Apartment,"Khulshi, Chattogram",No Sector/Block,Khulshi,Khulshi,Chattogram,30000.0
2,2,4,700,Apartment,"Eastern Pallabi, Pallabi, Mirpur, Dhaka",No Sector/Block,Pallabi,Mirpur,Dhaka,15000.0
4,4,8,4200,Apartment,"Gulshan 2, Gulshan, Dhaka",No Sector/Block,Gulshan 2,Gulshan,Dhaka,250000.0
3,3,6,2250,Apartment,"Gulshan 2, Gulshan, Dhaka",No Sector/Block,Gulshan 2,Gulshan,Dhaka,90000.0
3,3,6,1517,Apartment,"Colonel Jones Road, Colonel Hat, 10 No. North Kattali Ward, Chattogram",No Sector/Block,Colonel Hat,10 No. North Kattali Ward,Chattogram,15000.0
3,3,6,2300,Apartment,"Gulshan 1, Gulshan, Dhaka",No Sector/Block,Gulshan 1,Gulshan,Dhaka,90000.0
