Beds,Baths,TotalRooms,Area,Type,Address,Sector_or_Block,Region,Town,City,Price
3,3,6,1200,Apartment,"Mousumi Residential Area, 12 No. Sarai Para Ward, Double Mooring, Chattogram",No Sector/Block,12 No. Sarai Para Ward,Double Mooring,Chattogram,16000.0
3,3,6,1012,Apartment,"PC Culture Housing, Mohammadpur, Dhaka",No Sector/Block,PC Culture Housing,Mohammadpur,Dhaka,25000.0
2,2,4,1100,Apartment,"24 No. North Agrabad Ward, Double Mooring, Chattogram",No Sector/Block,24 No. North Agrabad Ward,Double Mooring,Chattogram,13500.0
3,3,6,1100,Apartment,"Bayazid Nagar Residential Area, Bayazid, Chattogram",No Sector/Block,Bayazid Nagar Residential Area,Bayazid,Chattogram,20000.0
3,2,5,1200,Apartment,"Mirpur, Dhaka",No Sector/Block,Mirpur,Mirpur,Dhaka,17000.0
4,5,9,2250,Apartment,"Block J, Bashundhara R-A, Dhaka",Block J,Bashundhara R-A,Bashundhara R-A,Dhaka,35000.0
3,3,6,1156,Apartment,"Dakshin Khan, Dhaka",No Sector/Block,Dakshin Khan,Dakshin Khan,Dhaka,22000.0
3,3,6,1250,Apartment,"East Rampura, Rampura, Dhaka",No Sector/Block,East Rampura,Rampura,Dhaka,22000.0
7,8,15,7500,Building,"Nikunja 1, Nikunja, Dhaka",No Sector/Block,Nikunja 1,Nikunja,Dhaka,300000.0
3,3,6,1600,Apartment,"South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,32000.0
4,4,8,3800,Apartment,"Block K, Baridhara, Dhaka",Block K,Baridhara,Baridhara,Dhaka,450000.0
3,3,6,1300,Apartment,"Block F, Section 2, Mirpur, Dhaka",Block F,Section 2,Mirpur,Dhaka,27000.0
3,3,6,1250,Apartment,"Jalalabad Housing Society, West Khulshi, 9 No. North Pahartali Ward, Chattogram",No Sector/Block,West Khulshi,9 No. North Pahartali Ward,Chattogram,20000.0
3,3,6,1330,Apartment,"Ashkar Dighir Par, Jamal Khan, Chattogram",No Sector/Block,Ashkar Dighir Par,Jamal Khan,Chattogram,25000.0
3,3,6,1300,Apartment,"Ashkar Dighir Par, Jamal Khan, Chattogram",No Sector/Block,Ashkar Dighir Par,Jamal Khan,Chattogram,25000.0
4,3,7,1300,Apartment,"Nayarhat, 3 No. Panchlaish Ward, Bayazid, Chattogram",No Sector/Block,3 No. Panchlaish Ward,Bayazid,Chattogram,16000.0
3,3,6,1250,Apartment,"Shahid Nagar, Bayazid, Chattogram",No Sector/Block,Shahid Nagar,Bayazid,Chattogram,15000.0
3,3,6,1250,Apartment,"Shahid Nagar, Bayazid, Chattogram",No Sector/Block,Shahid Nagar,Bayazid,Chattogram,15000.0
3,4,7,1365,Apartment,"Rajabazar, Tejgaon, Dhaka",No Sector/Block,Rajabazar,Tejgaon,Dhaka,30000.0
3,3,6,1400,Apartment,"Block I, Bashundhara R-A, Dhaka",Block I,Bashundhara R-A,Bashundhara R-A,Dhaka,25000.0
3,2,5,1200,Apartment,"Tejgaon, Dhaka",No Sector/Block,Tejgaon,Tejgaon,Dhaka,28000.0
3,3,6,1600,Apartment,"Sector 12, Uttara, Dhaka",Sector 12,Uttara,Uttara,Dhaka,30000.0
3,3,6,1600,Apartment,"Sector 12, Uttara, Dhaka",Sector 12,Uttara,Uttara,Dhaka,30000.0
2,2,4,700,Apartment,"PC Culture Housing, Mohammadpur, Dhaka",No Sector/Block,PC Culture Housing,Mohammadpur,Dhaka,13000.0
3,3,6,1300,Apartment,"Road No 3, Block K, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Block K,26 No. North Halishahar Ward,Halishahar,Chattogram,22000.0
3,3,6,1386,Apartment,"New Market, Dhaka",No Sector/Block,New Market,New Market,Dhaka,28000.0
2,2,4,950,Apartment,"Sugandha Residential Area, Panchlaish, Chattogram",No Sector/Block,Sugandha Residential Area,Panchlaish,Chattogram,24000.0
3,2,5,1250,Apartment,"Block F, Banasree, Dhaka",Block F,Banasree,Banasree,Dhaka,21000.0
3,3,6,900,Apartment,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",No Sector/Block,Ahmed Nagar,Mirpur,Dhaka,12000.0
3,3,6,1400,Apartment,"Road No 3, Block K, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Block K,26 No. North Halishahar Ward,Halishahar,Chattogram,22000.0
2,2,4,850,Apartment,"7 No. West Sholoshohor Ward, Chattogram",No Sector/Block,7 No. West Sholoshohor Ward,7 No. West Sholoshohor Ward,Chattogram,9000.0
2,2,4,950,Apartment,"Block D, Kolpolok R/A, 18 No. East Bakalia Ward, Bakalia, Chattogram",Block D,18 No. East Bakalia Ward,Bakalia,Chattogram,12000.0
3,3,6,1200,Apartment,"Block G, Banasree, Dhaka",Block G,Banasree,Banasree,Dhaka,23000.0
3,3,6,1100,Apartment,"Shah Ali Bag, Section 1, Mirpur, Dhaka",No Sector/Block,Section 1,Mirpur,Dhaka,13500.0
3,4,7,1600,Apartment,"South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,20000.0
2,2,4,650,Apartment,"Namapara, Khilkhet, Dhaka",No Sector/Block,Namapara,Khilkhet,Dhaka,10000.0
3,3,6,1120,Apartment,"Mirpur, Dhaka",No Sector/Block,Mirpur,Mirpur,Dhaka,20000.0
3,2,5,950,Apartment,"Mirpur, Dhaka",No Sector/Block,Mirpur,Mirpur,Dhaka,15000.0
3,2,5,1150,Apartment,"Middle Paikpara, Mirpur, Dhaka",No Sector/Block,Middle Paikpara,Mirpur,Dhaka,15000.0
1,1,2,500,Apartment,"Middle Paikpara, Mirpur, Dhaka",No Sector/Block,Middle Paikpara,Mirpur,Dhaka,8000.0
2,2,4,800,Apartment,"Mirpur, Dhaka",No Sector/Block,Mirpur,Mirpur,Dhaka,12000.0
1,1,2,500,Apartment,"Middle Paikpara, Mirpur, Dhaka",No Sector/Block,Middle Paikpara,Mirpur,Dhaka,8000.0
3,3,6,3000,Apartment,"Baridhara DOHS, Dhaka",No Sector/Block,Baridhara DOHS,Baridhara DOHS,Dhaka,90000.0
2,2,4,850,Apartment,"Janata Housing, Shah Ali Bag, Section 1, Mirpur, Dhaka",No Sector/Block info,Section 1,Mirpur,Dhaka,14000.0
3,3,6,1200,Apartment,"Abedin Colony, 22 No. Enayet Bazaar Ward, Chattogram",No Sector/Block,Abedin Colony,22 No. Enayet Bazaar Ward,Chattogram,27000.0
3,3,6,1650,Apartment,"Shyamol Chhaya Residential Area, Chadra Nagar, Bayazid, Chattogram",No Sector/Block,Chadra Nagar,Bayazid,Chattogram,20000.0
3,3,6,1665,Apartment,"West Rampura, Rampura, Dhaka",No Sector/Block,West Rampura,Rampura,Dhaka,28000.0
4,4,8,4500,Apartment,"Gulshan 2, Gulshan, Dhaka",No Sector/Block,Gulshan 2,Gulshan,Dhaka,360000.0
4,4,8,4500,Apartment,"Gulshan 2, Gulshan, Dhaka",No Sector/Block,Gulshan 2,Gulshan,Dhaka,360000.0
5,5,10,2300,Apartment,"Block C, Mohanagar Housing, West Rampura, Rampura, Dhaka",Block C,West Rampura,Rampura,Dhaka,40000.0
2,2,4,650,Apartment,"Mohammadpur, Dhaka",No Sector/Block,Mohammadpur,Mohammadpur,Dhaka,15000.0
3,3,6,1450,Apartment,"West Khulshi R/A, 9 No. North Pahartali Ward, Chattogram",No Sector/Block,West Khulshi R/A,9 No. North Pahartali Ward,Chattogram,16000.0
3,3,6,1500,Apartment,"Halishahar Cantonment, 26 No. North Halishahar Ward, Halishahar, Chattogram",No Sector/Block,26 No. North Halishahar Ward,Halishahar,Chattogram,25000.0
2,2,4,1100,Apartment,"Block J, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Block J,26 No. North Halishahar Ward,Halishahar,Chattogram,14000.0
2,2,4,700,Apartment,"Uttar Nath Para, Pahartali, 11 No. South Kattali Ward, Chattogram",No Sector/Block,Pahartali,11 No. South Kattali Ward,Chattogram,11000.0
2,2,4,900,Apartment,"30 No. East Madarbari Ward, Chattogram",No Sector/Block,30 No. East Madarbari Ward,30 No. East Madarbari Ward,Chattogram,15000.0
2,2,4,900,Apartment,"Block J, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Block J,26 No. North Halishahar Ward,Halishahar,Chattogram,13000.0
3,2,5,1200,Apartment,"Kallyanpur, Mirpur, Dhaka",No Sector/Block,Kallyanpur,Mirpur,Dhaka,16500.0
2,2,4,1000,Apartment,"Kapuriya Para, 28 No. Pathantooly Ward, Double Mooring, Chattogram",No Sector/Block,28 No. Pathantooly Ward,Double Mooring,Chattogram,18000.0
2,2,4,800,Apartment,"Mirpur, Dhaka",No Sector/Block,Mirpur,Mirpur,Dhaka,12000.0
3,3,6,1300,Apartment,"11 No. South Kattali Ward, Chattogram",No Sector/Block,11 No. South Kattali Ward,11 No. South Kattali Ward,Chattogram,20000.0
3,3,6,1360,Apartment,"Shah Ali Bag, Section 1, Mirpur, Dhaka",No Sector/Block,Section 1,Mirpur,Dhaka,20000.0
2,2,4,800,Apartment,"Sector 14, Uttara, Dhaka",Sector 14,Uttara,Uttara,Dhaka,18500.0
3,3,6,1100,Apartment,"Paikpara, Mirpur, Dhaka",No Sector/Block,Paikpara,Mirpur,Dhaka,18000.0
3,4,7,1525,Apartment,"2nd Colony, Mirpur, Dhaka",No Sector/Block,2nd Colony,Mirpur,Dhaka,25000.0
3,3,6,1800,Apartment,"Block D, Banasree, Dhaka",Block D,Banasree,Banasree,Dhaka,55000.0
3,3,6,1450,Apartment,"Middle Paikpara, Mirpur, Dhaka",No Sector/Block,Middle Paikpara,Mirpur,Dhaka,22000.0
3,3,6,1600,Apartment,"PC Culture Housing, Mohammadpur, Dhaka",No Sector/Block,PC Culture Housing,Mohammadpur,Dhaka,25000.0
2,2,4,1180,Apartment,"Pahartali, 12 No. Sarai Para Ward, Double Mooring, Chattogram",No Sector/Block,12 No. Sarai Para Ward,Double Mooring,Chattogram,10000.0
3,3,6,1180,Apartment,"Jagannathpur, Badda, Dhaka",No Sector/Block,Jagannathpur,Badda,Dhaka,18000.0
3,4,7,1700,Apartment,"Dampara, 15 No. Bagmoniram Ward, Chattogram",No Sector/Block,Dampara,15 No. Bagmoniram Ward,Chattogram,28000.0
3,4,7,1500,Apartment,"Priyanka City, Sector 12, Uttara, Dhaka",Sector 12,Uttara,Uttara,Dhaka,25000.0
2,2,4,900,Apartment,"Jangalpara, 7 No. West Sholoshohor Ward, Chattogram",No Sector/Block,Jangalpara,7 No. West Sholoshohor Ward,Chattogram,15000.0
4,4,8,3800,Apartment,"Block K, Baridhara, Dhaka",Block K,Baridhara,Baridhara,Dhaka,450000.0
4,4,8,3800,Apartment,"Block K, Baridhara, Dhaka",Block K,Baridhara,Baridhara,Dhaka,450000.0
3,3,6,1300,Apartment,"Block D, Aftab Nagar, Dhaka",Block D,Aftab Nagar,Aftab Nagar,Dhaka,40000.0
3,3,6,1300,Apartment,"Section 1, Mirpur, Dhaka",No Sector/Block,Section 1,Mirpur,Dhaka,20000.0
3,3,6,1654,Apartment,"Block A, Rajuk Uttara Apartment Project, Sector 18, Uttara, Dhaka",Sector 18,Rajuk Uttara Apartment Project,Uttara,Dhaka,15000.0
3,3,6,1100,Apartment,"Baitul Aman Housing Society, Adabor, Dhaka",Block A,Adabor,Adabor,Dhaka,18000.0
3,3,6,1400,Apartment,"Kazir Dewri, Chattogram",No Sector/Block,Kazir Dewri,Kazir Dewri,Chattogram,30000.0
3,3,6,1300,Apartment,"Nasirabad Housing Society, Muradpur, Chattogram",No Sector/Block,Nasirabad Housing Society,Muradpur,Chattogram,30000.0
2,2,4,1100,Apartment,"South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,20000.0
3,2,5,1000,Apartment,"PC Culture Housing, Mohammadpur, Dhaka",No Sector/Block,PC Culture Housing,Mohammadpur,Dhaka,16000.0
2,2,4,750,Apartment,"Rajabazar, Tejgaon, Dhaka",No Sector/Block,Rajabazar,Tejgaon,Dhaka,24000.0
2,2,4,850,Apartment,"Sector 13, Uttara, Dhaka",Sector 13,Uttara,Uttara,Dhaka,21000.0
2,2,4,950,Apartment,"Sector 13, Uttara, Dhaka",Sector 13,Uttara,Uttara,Dhaka,17000.0
2,2,4,850,Apartment,"Baitul Aman Housing Society, Adabor, Dhaka",No Sector/Block,Baitul Aman Housing Society,Adabor,Dhaka,16000.0
3,3,6,1100,Apartment,"Sector 13, Uttara, Dhaka",Sector 13,Uttara,Uttara,Dhaka,20000.0
3,3,6,1550,Apartment,"Block G, Bashundhara R-A, Dhaka",Block G,Bashundhara R-A,Bashundhara R-A,Dhaka,25000.0
3,3,6,1250,Apartment,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",Block B,Nobodoy Housing Society,Mohammadpur,Dhaka,18000.0
2,2,4,700,Apartment,"11 No. South Kattali Ward, Chattogram",No Sector/Block,11 No. South Kattali Ward,11 No. South Kattali Ward,Chattogram,10000.0
3,3,6,1300,Apartment,"11 No. South Kattali Ward, Chattogram",No Sector/Block,11 No. South Kattali Ward,11 No. South Kattali Ward,Chattogram,14000.0
2,2,4,1100,Apartment,"Sector 2, Block E, Aftab Nagar, Dhaka",Sector 2,Block E,Aftab Nagar,Dhaka,18000.0
3,3,6,1700,Apartment,"Bayazid, Chattogram",No Sector/Block,Bayazid,Bayazid,Chattogram,16000.0
3,3,6,1300,Apartment,"Sector 2, Block E, Aftab Nagar, Dhaka",Sector 2,Block E,Aftab Nagar,Dhaka,21000.0
3,3,6,1300,Apartment,"Sector 2, Block E, Aftab Nagar, Dhaka",Sector 2,Block E,Aftab Nagar,Dhaka,21000.0
2,2,4,1100,Apartment,"Sector 2, Block E, Aftab Nagar, Dhaka",Sector 2,Block E,Aftab Nagar,Dhaka,18000.0
3,3,6,1950,Apartment,"Block D, Bashundhara R-A, Dhaka",Block D,Bashundhara R-A,Bashundhara R-A,Dhaka,35000.0
3,2,5,1100,Apartment,"Kamrabad Road, Aturar Depo, Bayazid, Chattogram",No Sector/Block,Aturar Depo,Bayazid,Chattogram,12000.0
2,2,4,800,Apartment,"East Rampura, Rampura, Dhaka",No Sector/Block,East Rampura,Rampura,Dhaka,16000.0
2,2,4,700,Apartment,"Dakshin Kattali, 11 No. South Kattali Ward, Chattogram",No Sector/Block,Dakshin Kattali,11 No. South Kattali Ward,Chattogram,15000.0
2,2,4,800,Apartment,"30 No. East Madarbari Ward, Chattogram",No Sector/Block,30 No. East Madarbari Ward,30 No. East Madarbari Ward,Chattogram,19000.0
3,3,6,1200,Apartment,"West Agargaon, Agargaon, Dhaka",No Sector/Block,West Agargaon,Agargaon,Dhaka,22000.0
3,3,6,1150,Apartment,"Shah Ali Bag, Section 1, Mirpur, Dhaka",No Sector/Block,Section 1,Mirpur,Dhaka,20000.0
3,3,6,1200,Apartment,"Shah Ali Bag, Section 1, Mirpur, Dhaka",No Sector/Block,Section 1,Mirpur,Dhaka,17000.0
3,3,6,1300,Apartment,"Namapara, Khilkhet, Dhaka",No Sector/Block,Namapara,Khilkhet,Dhaka,15000.0
2,2,4,800,Apartment,"Middle Paikpara, Mirpur, Dhaka",No Sector/Block,Middle Paikpara,Mirpur,Dhaka,10000.0
3,3,6,1400,Apartment,"Uttara, Dhaka",No Sector/Block,Uttara,Uttara,Dhaka,24000.0
3,3,6,1150,Apartment,"Baitul Aman Housing Society, Adabor, Dhaka",No Sector/Block,Baitul Aman Housing Society,Adabor,Dhaka,18000.0
1,1,2,500,Apartment,"PC Culture Housing, Mohammadpur, Dhaka",No Sector/Block,PC Culture Housing,Mohammadpur,Dhaka,12000.0
3,3,6,1650,Apartment,"Halishahar Cantonment, 26 No. North Halishahar Ward, Halishahar, Chattogram",No Sector/Block,26 No. North Halishahar Ward,Halishahar,Chattogram,23000.0
2,3,5,1100,Apartment,"Gulbag Residential Area, 24 No. North Agrabad Ward, Double Mooring, Chattogram",No Sector/Block,24 No. North Agrabad Ward,Double Mooring,Chattogram,17000.0
4,4,8,1750,Apartment,"Taltola, Agargaon, Dhaka",No Sector/Block,Taltola,Agargaon,Dhaka,30000.0
2,2,4,720,Apartment,"Block F, aziz Moholla, Mohammadpur, Dhaka",Block F,aziz Moholla,Mohammadpur,Dhaka,15000.0
3,3,6,1271,Apartment,"Janata Housing, Shah Ali Bag, Section 1, Mirpur, Dhaka",No Sector/Block info,Section 1,Mirpur,Dhaka,18000.0
2,2,4,650,Apartment,"Block B, Section 12, Mirpur, Dhaka",Block B,Section 12,Mirpur,Dhaka,16000.0
2,2,4,1000,Apartment,"Block A, Rahman Nagar, Nasirabad, Bayazid, Chattogram",Block A,Nasirabad,Bayazid,Chattogram,13000.0
3,3,6,2508,Apartment,"Gulshan 1, Gulshan, Dhaka",No Sector/Block,Gulshan 1,Gulshan,Dhaka,140000.0
3,2,5,1250,Apartment,"Badda, Dhaka",No Sector/Block,Badda,Badda,Dhaka,23000.0
2,2,4,800,Apartment,"Block D, Mansurabad Housing Society, Adabor, Dhaka",Block D,Mansurabad Housing Society,Adabor,Dhaka,15000.0
2,2,4,750,Apartment,"Nikunja 2, Nikunja, Dhaka",No Sector/Block,Nikunja 2,Nikunja,Dhaka,20000.0
2,2,4,1040,Apartment,"Green Valley, Bayazid, Chattogram",No Sector/Block,Green Valley,Bayazid,Chattogram,12000.0
2,2,4,850,Apartment,"Sector 13, Uttara, Dhaka",Sector 13,Uttara,Uttara,Dhaka,20000.0
2,3,5,900,Apartment,"Mehidibag, 15 No. Bagmoniram Ward, Chattogram",No Sector/Block,Mehidibag,15 No. Bagmoniram Ward,Chattogram,18000.0
3,4,7,2400,Apartment,"Block K, Baridhara, Dhaka",Block K,Baridhara,Baridhara,Dhaka,150000.0
2,2,4,900,Apartment,"Sector 13, Uttara, Dhaka",Sector 13,Uttara,Uttara,Dhaka,20000.0
2,2,4,900,Apartment,"Dakshin Kattali, 11 No. South Kattali Ward, Chattogram",No Sector/Block,Dakshin Kattali,11 No. South Kattali Ward,Chattogram,12000.0
3,2,5,900,Apartment,"Dakshin Kattali, 11 No. South Kattali Ward, Chattogram",No Sector/Block,Dakshin Kattali,11 No. South Kattali Ward,Chattogram,10000.0
1,1,2,500,Apartment,"Mirpur, Dhaka",No Sector/Block,Mirpur,Mirpur,Dhaka,9000.0
3,3,6,1654,Apartment,"Block A, Rajuk Uttara Apartment Project, Sector 18, Uttara, Dhaka",Sector 18,Rajuk Uttara Apartment Project,Uttara,Dhaka,15000.0
2,1,3,500,Apartment,"Block D, Mohanagar Housing, West Rampura, Rampura, Dhaka",Block D,West Rampura,Rampura,Dhaka,12000.0
3,3,6,1500,Apartment,"Uttara, Dhaka",Block A,Dhaka,Dhaka,Dhaka,25000.0
3,3,6,1500,Apartment,"Uttara, Dhaka",No Sector/Block,Uttara,Uttara,Dhaka,25000.0
3,2,5,1500,Apartment,"Road No 2, Block K, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Block K,26 No. North Halishahar Ward,Halishahar,Chattogram,20000.0
3,4,7,1530,Apartment,"Block E, Bashundhara R-A, Dhaka",Block E,Bashundhara R-A,Bashundhara R-A,Dhaka,30000.0
3,4,7,2900,Apartment,"Block K, Baridhara, Dhaka",Block K,Baridhara,Baridhara,Dhaka,180000.0
3,3,6,1300,Apartment,"Paikpara, Mirpur, Dhaka",No Sector/Block,Paikpara,Mirpur,Dhaka,16000.0
2,2,4,600,Apartment,"Khilkhet, Dhaka",No Sector/Block,Khilkhet,Khilkhet,Dhaka,11000.0
2,2,4,800,Apartment,"Block A, Rahman Nagar, Nasirabad, Bayazid, Chattogram",Block A,Nasirabad,Bayazid,Chattogram,10000.0
2,2,4,720,Apartment,"Nikunja 2, Nikunja, Dhaka",No Sector/Block,Nikunja 2,Nikunja,Dhaka,17000.0
3,2,5,1500,Apartment,"Uttara, Dhaka",No Sector/Block,Uttara,Uttara,Dhaka,25000.0
3,3,6,1200,Apartment,"Kazir Dewri, Chattogram",No Sector/Block,Kazir Dewri,Kazir Dewri,Chattogram,30000.0
3,3,6,1300,Apartment,"Dampara, 14 No. Lalkhan Bazaar Ward, Lal Khan Bazaar, Chattogram",No Sector/Block,14 No. Lalkhan Bazaar Ward,Lal Khan Bazaar,Chattogram,22000.0
3,2,5,1110,Apartment,"Kunjachaya Residential Area, Bayazid, Chattogram",No Sector/Block,Kunjachaya Residential Area,Bayazid,Chattogram,11000.0
3,3,6,1120,Apartment,"Rajabazar, Tejgaon, Dhaka",No Sector/Block,Rajabazar,Tejgaon,Dhaka,30000.0
3,3,6,1500,Apartment,"Sector 10, Uttara, Dhaka",Sector 10,Uttara,Uttara,Dhaka,20000.0
3,3,6,1100,Apartment,"Namapara, Khilkhet, Dhaka",No Sector/Block,Namapara,Khilkhet,Dhaka,14000.0
2,2,4,850,Apartment,"Jalalabad Housing Society, West Khulshi, 9 No. North Pahartali Ward, Chattogram",No Sector/Block,West Khulshi,9 No. North Pahartali Ward,Chattogram,15000.0
3,3,6,1250,Apartment,"Jalalabad Housing Society, West Khulshi, 9 No. North Pahartali Ward, Chattogram",No Sector/Block,West Khulshi,9 No. North Pahartali Ward,Chattogram,20000.0
3,3,6,1400,Apartment,"South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,20000.0
3,3,6,1750,Apartment,"A-Block Chandgaon R/A, Chandgaon Residential Area, 4 No Chandgaon Ward, Chattogram",A-Block Chandgaon R/A,Chandgaon Residential Area,4 No Chandgaon Ward,Chattogram,34000.0
2,2,4,700,Apartment,"Kazibari, Dakshin Khan, Dhaka",No Sector/Block,Kazibari,Dakshin Khan,Dhaka,10000.0
2,2,4,900,Apartment,"North Shahjahanpur, Dhaka",No Sector/Block,North Shahjahanpur,North Shahjahanpur,Dhaka,18000.0
4,4,8,3200,Apartment,"Block K, Baridhara, Dhaka",Block K,Baridhara,Baridhara,Dhaka,200000.0
3,3,6,1400,Apartment,"Road No 3, Block K, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Block K,26 No. North Halishahar Ward,Halishahar,Chattogram,25000.0
2,2,4,900,Apartment,"Sector 14, Uttara, Dhaka",Sector 14,Uttara,Uttara,Dhaka,20200.0
3,3,6,1450,Apartment,"Kallyanpur, Mirpur, Dhaka",No Sector/Block,Kallyanpur,Mirpur,Dhaka,20000.0
3,3,6,1300,Apartment,"Block D, Aftab Nagar, Dhaka",Block D,Aftab Nagar,Aftab Nagar,Dhaka,40000.0
3,2,5,1150,Apartment,"Block C, Hill View R/A, Bayazid, Chattogram",Block C,Hill View R/A,Bayazid,Chattogram,15000.0
3,2,5,1000,Apartment,"Block C, Hill View R/A, Bayazid, Chattogram",Block C,Hill View R/A,Bayazid,Chattogram,17000.0
3,2,5,1025,Apartment,"9 No. North Pahartali Ward, Chattogram",No Sector/Block,9 No. North Pahartali Ward,9 No. North Pahartali Ward,Chattogram,11000.0
2,2,4,850,Apartment,"Bepari Para, Oxygen, Bayazid, Chattogram",No Sector/Block,Oxygen,Bayazid,Chattogram,10500.0
2,2,4,700,Apartment,"Janata Housing, Shah Ali Bag, Section 1, Mirpur, Dhaka",No Sector/Block info,Section 1,Mirpur,Dhaka,10000.0
4,3,7,1200,Apartment,"24 No. North Agrabad Ward, Double Mooring, Chattogram",No Sector/Block,24 No. North Agrabad Ward,Double Mooring,Chattogram,18000.0
2,2,4,700,Apartment,"Rampura, Dhaka",No Sector/Block,Rampura,Rampura,Dhaka,15000.0
2,1,3,500,Apartment,"Gulbag, Malibagh, Dhaka",No Sector/Block,Gulbag,Malibagh,Dhaka,14000.0
3,3,6,1150,Apartment,"Cosmopolitan R/A, 7 No. West Sholoshohor Ward, Chattogram",No Sector/Block,Cosmopolitan R/A,7 No. West Sholoshohor Ward,Chattogram,18000.0
3,3,6,1610,Apartment,"Sector 7, Uttara, Dhaka",Sector 7,Uttara,Uttara,Dhaka,40000.0
3,3,6,1250,Apartment,"Jalalabad Housing Society, West Khulshi, 9 No. North Pahartali Ward, Chattogram",No Sector/Block,West Khulshi,9 No. North Pahartali Ward,Chattogram,20000.0
3,3,6,1450,Apartment,"Lake Valley R/A, 9 No. North Pahartali Ward, Chattogram",No Sector/Block,Lake Valley R/A,9 No. North Pahartali Ward,Chattogram,21000.0
3,2,5,950,Apartment,"Devpahar, Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",No Sector/Block,Chawk Bazar,16 No. Chawk Bazaar Ward,Chattogram,22000.0
3,3,6,1500,Apartment,"Karnaphuly Abashik Elaka, 25 No. Rampur Ward, Double Mooring, Chattogram",No Sector/Block,25 No. Rampur Ward,Double Mooring,Chattogram,20000.0
2,2,4,850,Apartment,"Bangladesh Co-operative Housing Society, Bayazid, Chattogram",No Sector/Block,Bangladesh Co-operative Housing Society,Bayazid,Chattogram,12000.0
3,2,5,1100,Apartment,"South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,18000.0
3,3,6,1300,Apartment,"11 No. South Kattali Ward, Chattogram",No Sector/Block,11 No. South Kattali Ward,11 No. South Kattali Ward,Chattogram,16000.0
3,4,7,2585,Apartment,"Banani, Dhaka",No Sector/Block,Banani,Banani,Dhaka,110000.00000000001
2,3,5,1985,Apartment,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",No Sector/Block,North Khulshi,Khulshi,Chattogram,60000.0
3,3,6,1400,Apartment,"South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,20000.0
3,3,6,1500,Apartment,"Uttara, Dhaka",No Sector/Block,Uttara,Uttara,Dhaka,22000.0
3,3,6,1100,Apartment,"Dakkhin Paikpara, Mirpur, Dhaka",No Sector/Block,Dakkhin Paikpara,Mirpur,Dhaka,16000.0
3,3,6,1200,Apartment,"Bonolota Abashik Elaka, West Agargaon, Agargaon, Dhaka",No Sector/Block,West Agargaon,Agargaon,Dhaka,20000.0
2,2,4,950,Apartment,"Ibrahimpur, Dhaka",No Sector/Block,Ibrahimpur,Ibrahimpur,Dhaka,19000.0
3,3,6,1300,Apartment,"CDA Residential Area, South Agrabad, Double Mooring, Chattogram",No Sector/Block,South Agrabad,Double Mooring,Chattogram,18000.0
2,2,4,845,Apartment,"East Nakhalpara, Tejgaon, Dhaka",No Sector/Block,East Nakhalpara,Tejgaon,Dhaka,20000.0
3,3,6,1300,Apartment,"Sector 13, Uttara, Dhaka",Sector 13,Uttara,Uttara,Dhaka,20000.0
3,3,6,1505,Apartment,"9 No. North Pahartali Ward, Chattogram",No Sector/Block,9 No. North Pahartali Ward,9 No. North Pahartali Ward,Chattogram,22000.0
3,2,5,1154,Apartment,"25 No. Rampur Ward, Double Mooring, Chattogram",No Sector/Block,25 No. Rampur Ward,Double Mooring,Chattogram,13000.0
3,3,6,1200,Apartment,"Dakshin Kattali, 11 No. South Kattali Ward, Chattogram",No Sector/Block,Dakshin Kattali,11 No. South Kattali Ward,Chattogram,16000.0
4,3,7,1700,Apartment,"Sector 2, Block E, Aftab Nagar, Dhaka",Sector 2,Block E,Aftab Nagar,Dhaka,30000.0
3,4,7,1560,Apartment,"Shiddheswari, Dhaka",No Sector/Block,Shiddheswari,Shiddheswari,Dhaka,50000.0
3,3,6,1250,Apartment,"Sector 10, Uttara, Dhaka",Sector 10,Uttara,Uttara,Dhaka,20000.0
3,2,5,850,Apartment,"PC Culture Housing, Mohammadpur, Dhaka",No Sector/Block,PC Culture Housing,Mohammadpur,Dhaka,16000.0
2,2,4,970,Apartment,"Shahi Residential Area, Badurtala, Sholokbahar, Chattogram",No Sector/Block,Badurtala,Sholokbahar,Chattogram,11000.0
